club_domicile;club_exterieur;score_domicile;score_exterieur;date;heure;groupe;saison;journee
Olympique de Marseille;Olympique Lillois;7;0;;;A;1933;1
OGC Nice;SC Nîmois;2;3;;;A;1933;1
EAC Roubaix;FC Sète 34;0;3;;;A;1933;1
RC Paris;Hyères FC;2;1;;;A;1933;1
FC Mulhouse;Club Français;2;3;;;A;1933;1
FC Metz;Stade Rennais FC;1;2;;;B;1933;1
SO Montpellier;Olympique d'Alès;2;0;;;B;1933;1
Red Star  F.C;FC Antibes;2;3;;;B;1933;1
FC Sochaux-Montbéliard;CA Paris;1;3;;;B;1933;1
SC Fives;AS Cannes;1;1;;;B;1933;1
SC Nîmois;Olympique de Marseille;1;3;;;A;1933;2
OGC Nice;FC Mulhouse;5;2;;;A;1933;2
Olympique Lillois;RC Paris;4;1;;;A;1933;2
Club Français;FC Sète 34;2;3;;;A;1933;2
Hyères FC;EAC Roubaix;3;1;;;A;1933;2
SO Montpellier;SC Fives;4;2;;;B;1933;2
Stade Rennais FC;CA Paris;3;1;;;B;1933;2
AS Cannes;Red Star  F.C;2;1;;;B;1933;2
Olympique d'Alès;FC Antibes;3;3;;;B;1933;2
FC Sochaux-Montbéliard;FC Metz;5;0;;;B;1933;2
EAC Roubaix;OGC Nice;2;2;;;A;1933;3
Olympique de Marseille;RC Paris;1;0;;;A;1933;3
FC Sète 34;SC Nîmois;1;1;;;A;1933;3
FC Mulhouse;Hyères FC;3;1;;;A;1933;3
Club Français;Olympique Lillois;1;3;;;A;1933;3
SC Fives;Olympique d'Alès;3;0;;;B;1933;3
Red Star  F.C;Stade Rennais FC;6;2;;;B;1933;3
CA Paris;SO Montpellier;2;2;;;B;1933;3
FC Antibes;FC Sochaux-Montbéliard;4;1;;;B;1933;3
FC Metz;AS Cannes;0;2;;;B;1933;3
Olympique de Marseille;FC Mulhouse;3;1;;;A;1933;4
Hyères FC;FC Sète 34;1;2;;;A;1933;4
Club Français;SC Nîmois;5;2;;;A;1933;4
RC Paris;EAC Roubaix;2;2;;;A;1933;4
OGC Nice;Olympique Lillois;2;3;;;A;1933;4
CA Paris;SC Fives;1;2;;;B;1933;4
SO Montpellier;AS Cannes;1;2;;;B;1933;4
Olympique d'Alès;FC Metz;2;3;;;B;1933;4
FC Sochaux-Montbéliard;Red Star  F.C;1;1;;;B;1933;4
FC Antibes;Stade Rennais FC;3;1;;;B;1933;4
EAC Roubaix;Club Français;4;1;;;A;1933;5
OGC Nice;Hyères FC;2;1;;;A;1933;5
FC Sète 34;Olympique de Marseille;1;1;;;A;1933;5
SC Nîmois;RC Paris;5;1;;;A;1933;5
FC Mulhouse;Olympique Lillois;1;2;;;A;1933;5
SC Fives;Stade Rennais FC;4;4;;;B;1933;5
Red Star  F.C;Olympique d'Alès;5;0;;;B;1933;5
CA Paris;FC Antibes;2;3;;;B;1933;5
FC Metz;SO Montpellier;2;1;;;B;1933;5
AS Cannes;FC Sochaux-Montbéliard;1;1;;;B;1933;5
Olympique de Marseille;OGC Nice;1;0;;;A;1933;6
SC Nîmois;EAC Roubaix;2;0;;;A;1933;6
Club Français;Hyères FC;2;2;;;A;1933;6
RC Paris;FC Mulhouse;2;1;;;A;1933;6
Olympique Lillois;FC Sète 34;4;2;;;A;1933;6
Red Star  F.C;SC Fives;0;1;;;B;1933;6
AS Cannes;CA Paris;2;2;;;B;1933;6
FC Metz;FC Antibes;3;2;;;B;1933;6
Stade Rennais FC;Olympique d'Alès;4;0;;;B;1933;6
SO Montpellier;FC Sochaux-Montbéliard;2;0;;;B;1933;6
FC Mulhouse;EAC Roubaix;6;2;;;A;1933;7
Hyères FC;Olympique de Marseille;1;1;;;A;1933;7
OGC Nice;Club Français;2;0;;;A;1933;7
RC Paris;FC Sète 34;5;3;;;A;1933;7
Olympique Lillois;SC Nîmois;4;0;;;A;1933;7
SC Fives;FC Antibes;0;5;;;B;1933;7
CA Paris;FC Metz;2;1;;;B;1933;7
SO Montpellier;Red Star  F.C;1;1;;;B;1933;7
Olympique d'Alès;FC Sochaux-Montbéliard;0;1;;;B;1933;7
Stade Rennais FC;AS Cannes;5;4;;;B;1933;7
FC Sète 34;FC Mulhouse;1;1;;;A;1933;8
Club Français;Olympique de Marseille;6;2;;;A;1933;8
OGC Nice;RC Paris;0;0;;;A;1933;8
Hyères FC;SC Nîmois;2;2;;;A;1933;8
Olympique Lillois;EAC Roubaix;2;0;;;A;1933;8
FC Metz;SC Fives;0;0;;;B;1933;8
FC Antibes;SO Montpellier;0;2;;;B;1933;8
Red Star  F.C;CA Paris;3;4;;;B;1933;8
FC Sochaux-Montbéliard;Stade Rennais FC;2;1;;;B;1933;8
Olympique d'Alès;AS Cannes;2;4;;;B;1933;8
FC Sète 34;OGC Nice;1;2;;;A;1933;9
SC Nîmois;FC Mulhouse;3;1;;;A;1933;9
Olympique de Marseille;EAC Roubaix;2;2;;;A;1933;9
RC Paris;Club Français;4;1;;;A;1933;9
Hyères FC;Olympique Lillois;0;1;;;A;1933;9
SC Fives;FC Sochaux-Montbéliard;2;2;;;B;1933;9
FC Metz;Red Star  F.C;1;7;;;B;1933;9
Stade Rennais FC;SO Montpellier;6;1;;;B;1933;9
CA Paris;Olympique d'Alès;2;1;;;B;1933;9
AS Cannes;FC Antibes;3;0;;;B;1933;9
Olympique Lillois;Olympique de Marseille;1;2;;;A;1933;10
FC Sète 34;EAC Roubaix;0;2;;;A;1933;10
Club Français;FC Mulhouse;5;0;;;A;1933;10
SC Nîmois;OGC Nice;2;0;;;A;1933;10
Hyères FC;RC Paris;1;2;;;A;1933;10
AS Cannes;SC Fives;5;5;;;B;1933;10
CA Paris;FC Sochaux-Montbéliard;3;5;;;B;1933;10
FC Antibes;Red Star  F.C;2;0;;;B;1933;10
Olympique d'Alès;SO Montpellier;2;2;;;B;1933;10
Stade Rennais FC;FC Metz;4;0;;;B;1933;10
RC Paris;Olympique Lillois;0;1;;;A;1933;11
FC Mulhouse;OGC Nice;5;2;;;A;1933;11
EAC Roubaix;Hyères FC;2;1;;;A;1933;11
Olympique de Marseille;SC Nîmois;2;0;;;A;1933;11
FC Sète 34;Club Français;3;2;;;A;1933;11
SC Fives;SO Montpellier;2;3;;;B;1933;11
CA Paris;Stade Rennais FC;3;1;;;B;1933;11
Red Star  F.C;AS Cannes;1;1;;;B;1933;11
FC Antibes;Olympique d'Alès;0;0;;;B;1933;11
FC Metz;FC Sochaux-Montbéliard;0;3;;;B;1933;11
Olympique Lillois;Club Français;5;3;;;A;1933;12
Hyères FC;FC Mulhouse;1;1;;;A;1933;12
OGC Nice;EAC Roubaix;2;2;;;A;1933;12
RC Paris;Olympique de Marseille;3;1;;;A;1933;12
SC Nîmois;FC Sète 34;1;3;;;A;1933;12
